"DATE","tas","tasmin","tasmax","global_radiation","SPI"
2000-01-01,1.5,-1,3.1,241.92,1.11194195567169
2000-01-02,1.4,0,2.7,216,1.1127377394523
2000-01-03,-0.8,-5.8,1.5,311.04,1.01845320411583
2000-01-04,2.9,-4.3,5.3,578.88,1.06534950724789
2000-01-05,4.6,1,7.2,233.28,1.05749355176484
2000-01-06,1.2,-1.2,3.5,285.12,1.00206604285254
2000-01-07,0.6,-1.8,4.6,423.36,1.00757428027954
2000-01-08,2,-0.2,6.2,552.96,0.984870976413171
2000-01-09,2.3,0.2,4.2,164.16,0.977812753605006
2000-01-10,2.7,1.8,3.4,129.6,0.951232727135897
2000-01-11,1.3,0.2,2.1,103.68,0.716413154716646
2000-01-12,-0.2,-0.8,0.1,120.96,0.705165787587091
2000-01-13,-1.7,-4.7,1.1,466.56,0.40214113720088
2000-01-14,-4.1,-5.8,-1.9,250.56,0.376037268995159
2000-01-15,-3.2,-5.6,-1.8,267.84,0.377572806148867
2000-01-16,-2.5,-3.8,-1.1,112.32,0.375363165954426
2000-01-17,-0.3,-5.8,3,233.28,0.0634197132789486
2000-01-18,3,1.3,3.9,164.16,-0.132279244926474
2000-01-19,-0.4,-4.5,1.7,414.72,-0.185565705471883
2000-01-20,-2.2,-6.6,0.7,544.32,-0.19737505680127
2000-01-21,0.4,-0.4,1.1,120.96,-0.200226573264082
2000-01-22,1.1,0.1,2,146.88,-0.126551009023099
2000-01-23,0.2,-2.3,0.9,285.12,-0.0231763697834976
2000-01-24,-7.8,-15.2,-2.4,483.84,-0.38104070653712
2000-01-25,-10.6,-16.3,-8.5,587.52,-1.14749804071019
2000-01-26,-12.3,-17.2,-8.3,777.6,-1.61613191528799
2000-01-27,-12.8,-18.4,-5.6,803.52,-2.14782647061696
2000-01-28,-4.1,-14.7,3.8,717.12,-2.247082097726
2000-01-29,4.4,2.1,6.5,241.92,-1.80132599833117
2000-01-30,7.5,6.5,8.3,241.92,-1.66341685543502
2000-01-31,6.3,-0.2,10.1,587.52,-1.73979424414042
2000-02-01,4.4,-2,11.8,846.72,-1.77198610222833
2000-02-02,7.1,4.5,9.5,164.16,-1.30023672118461
2000-02-03,3.6,0.6,6.7,483.84,-1.49639941900131
2000-02-04,1.4,-3.9,6.3,881.28,-1.46582104044184
2000-02-05,4.6,-0.1,10.4,596.16,-1.45369541599866
2000-02-06,4.9,-1.8,12.7,656.64,-1.44007424041279
2000-02-07,6.3,1.7,8,181.44,-1.35929660178666
2000-02-08,7.9,5.5,10.3,336.96,-0.728997554034237
2000-02-09,3.7,0.8,7.2,397.44,-0.60309596238695
2000-02-10,4.4,-0.6,9.8,993.6,-0.320892961248175
2000-02-11,3,1.2,7.6,146.88,-0.251052018927345
2000-02-12,1.6,0.2,3.1,302.4,-0.258368732057486
2000-02-13,3.6,1.6,5,354.24,-0.00415827128453831
2000-02-14,4.9,1.8,7.3,362.88,0.0855857935461514
2000-02-15,6,4.5,7.6,371.52,0.164714429368096
2000-02-16,3.3,-0.4,7.5,354.24,0.283782543545812
2000-02-17,-0.3,-1.9,1.3,483.84,0.343214020964394
2000-02-18,1.7,-1.2,5.7,423.36,0.524754630891786
2000-02-19,4,1.1,5.2,414.72,0.659917155206184
2000-02-20,0.4,-4.5,2.1,302.4,0.692317402194839
2000-02-21,-3.1,-9,2.4,1218.24,0.637106470458305
2000-02-22,-1.5,-5.1,4.1,1226.88,0.560521309622657
2000-02-23,-0.4,-5,5.8,838.08,0.543039943680141
2000-02-24,2.3,-3.2,6.6,475.2,0.575494189558839
2000-02-25,7.1,4.5,9.7,475.2,0.747994129837756
2000-02-26,4.6,2.4,7,449.28,0.742086766257041
2000-02-27,4.6,-0.5,12.9,1192.32,0.739757649434005
2000-02-28,8.4,-1.3,16.4,1321.92,0.81294793910225
2000-02-29,6.9,5.2,9.9,241.92,1.07685879157625
2000-03-01,4.7,1,7.2,319.68,1.21579921296853
2000-03-02,1.8,0.4,4.4,907.2,1.22021484313429
2000-03-03,5.5,1.4,9,1235.52,1.28464281100814
2000-03-04,3.3,-1.9,6.1,959.04,1.29058990627796
2000-03-05,-0.1,-3.9,4.5,1529.28,1.28145041493235
2000-03-06,1.4,-4.3,9.6,1503.36,1.26233575996443
2000-03-07,7,-2.6,12,1425.6,1.27142964691676
2000-03-08,8,3.9,11.1,794.88,1.30557189002106
2000-03-09,12.6,8.7,16.6,984.96,0.998430976563013
2000-03-10,9.1,5.4,11.4,397.44,0.918421909593806
2000-03-11,10,6,16.1,1252.8,0.741609528603586
2000-03-12,6.5,0.3,11.7,1330.56,0.700355847238489
2000-03-13,5.4,-2.2,13,1503.36,0.702144572709626
2000-03-14,8.3,4.4,11.7,717.12,0.696774926700292
2000-03-15,3.4,-0.3,7.9,829.44,0.622815263672887
2000-03-16,2.6,0.4,4.6,120.96,0.589864984302629
2000-03-17,5.6,4.5,6.8,250.56,0.538942755788358
2000-03-18,5.4,4.3,6.3,311.04,0.645243536114424
2000-03-19,4.6,1.7,6.9,457.92,0.486491503964078
2000-03-20,3.5,-1.5,8.3,1693.44,0.342013748789673
2000-03-21,4.2,-1.9,11.9,1771.2,0.299037740341039
2000-03-22,6.6,-1.2,16.4,1736.64,0.297815035455571
2000-03-23,8.4,0,15.3,1209.6,0.311069282790321
2000-03-24,9.1,5.6,13.2,535.68,0.339596802976386
2000-03-25,8.7,4.7,14,1296,0.31258683636315
2000-03-26,5.2,3,9,354.24,0.232302190430909
2000-03-27,3.5,1.9,6.6,734.4,0.421645547507362
2000-03-28,4.2,1.2,8.2,907.2,0.427887114129909
2000-03-29,4,2.9,4.8,190.08,0.294034604792751
2000-03-30,3.9,2.7,5.6,639.36,-0.0904343964345163
2000-03-31,6.6,2.3,11.7,1676.16,-0.312671491632089
2000-04-01,4.8,0.1,8.8,1019.52,-0.284771022697434
2000-04-02,5.1,-2.3,13.8,1866.24,-0.698333623402068
2000-04-03,10.7,3,17.7,1434.24,-0.718732499264855
2000-04-04,10.5,3.1,18.2,1728,-0.656221188067404
2000-04-05,7.5,5.4,9.2,406.08,-0.134788780308887
2000-04-06,2.6,-1.6,5.5,354.24,-0.124164027754536
2000-04-07,3.2,-4.5,10.9,2211.84,-0.200126356706663
2000-04-08,5,-3.1,13.9,2255.04,-0.203788325227681
2000-04-09,6.5,-2.3,15.2,1805.76,-0.198638802752058
2000-04-10,9,3.2,14.6,1918.08,-0.197826063762319
2000-04-11,7.6,6.2,9.5,717.12,0.0763589442552902
2000-04-12,6.2,2.7,9.8,1062.72,0.158429951227724
2000-04-13,6.8,2.7,10.6,1071.36,-0.018533594542323
2000-04-14,9.2,3,16.3,1883.52,-0.0255315709159309
2000-04-15,7.1,3.4,9.9,552.96,-0.0694942798174791
2000-04-16,8.2,-2.2,17.1,1848.96,-0.116790844389524
2000-04-17,7.8,5.2,9.6,475.2,-0.235791078939573
2000-04-18,7.2,5.1,10,768.96,-0.193500782710689
2000-04-19,8.8,2.9,15.3,1589.76,-0.186971408864672
2000-04-20,9.5,0.8,17.9,2315.52,-0.184017804098323
2000-04-21,13.9,5.4,22.3,2298.24,-0.178998533227703
2000-04-22,15.1,5.5,25,2229.12,-0.189109308060271
2000-04-23,13.9,6.3,20,1252.8,0.0860782525092133
2000-04-24,8.2,3.4,11.4,1062.72,0.0789433470517143
2000-04-25,9.4,1.3,17.5,2315.52,-0.0537679343613495
2000-04-26,13.3,3.5,21.9,2298.24,-0.285321462681279
2000-04-27,13.4,8.3,19.3,1226.88,-0.291914763870707
2000-04-28,14.3,8.6,21.8,1105.92,-0.398733099256706
2000-04-29,12.2,9.5,14.9,993.6,-0.414515323026659
2000-04-30,14.1,10,19.4,1823.04,-0.413828636602876
2000-05-01,15.2,9.4,21.8,1719.36,-0.457065111190884
2000-05-02,15.3,10.2,21.4,2047.68,-0.454276666724356
2000-05-03,16.3,9.5,23.7,2099.52,-0.447476375432424
2000-05-04,16.3,9.3,22.1,2047.68,-0.492066979805542
2000-05-05,15.6,10,23.2,2073.6,-0.937331961435003
2000-05-06,15,8,21.4,1926.72,-0.964706053738359
